epoch,p1x,p1y,p1z,p2x,p2y,p2z
418,13.0,14.0,1.0,16.0,16.0,31.0
419,13.0,14.0,1.0,16.0,16.0,31.0
420,13.0,15.0,1.0,16.0,14.0,31.0
421,14.0,14.0,1.0,15.0,16.0,31.0
422,14.0,14.0,1.0,16.0,15.0,31.0
423,14.0,14.0,1.0,15.0,16.0,31.0
424,14.0,14.0,1.0,16.0,15.0,31.0
425,13.0,14.0,1.0,16.0,16.0,31.0
426,14.0,16.0,1.0,16.0,14.0,31.0
427,13.0,14.0,1.0,16.0,15.0,31.0
428,13.0,14.0,1.0,16.0,16.0,31.0
429,13.0,14.0,1.0,16.0,15.0,31.0
430,13.0,14.0,1.0,16.0,16.0,31.0
431,13.0,14.0,1.0,17.0,15.0,31.0
432,14.0,14.0,1.0,15.0,16.0,31.0
433,14.0,14.0,1.0,16.0,15.0,31.0
434,13.0,14.0,1.0,16.0,16.0,31.0
435,14.0,14.0,1.0,16.0,15.0,31.0
436,13.0,14.0,1.0,16.0,16.0,31.0
437,13.0,14.0,1.0,16.0,16.0,31.0
438,14.0,16.0,1.0,16.0,14.0,31.0
439,13.0,14.0,1.0,16.0,15.0,31.0
440,13.0,14.0,1.0,16.0,16.0,31.0
441,13.0,14.0,1.0,16.0,15.0,31.0
442,13.0,14.0,1.0,16.0,15.0,31.0
443,13.0,14.0,1.0,16.0,15.0,31.0
444,14.0,14.0,1.0,16.0,15.0,31.0
445,13.0,14.0,1.0,16.0,16.0,31.0
446,13.0,14.0,1.0,16.0,15.0,31.0
447,13.0,14.0,1.0,16.0,15.0,31.0
448,14.0,14.0,1.0,16.0,15.0,31.0
449,13.0,14.0,1.0,16.0,15.0,31.0
450,13.0,15.0,1.0,16.0,14.0,31.0
451,14.0,14.0,1.0,16.0,15.0,31.0
452,13.0,14.0,1.0,16.0,16.0,31.0
453,13.0,15.0,1.0,16.0,14.0,31.0
454,14.0,16.0,1.0,15.0,13.0,31.0
455,13.0,15.0,1.0,16.0,14.0,31.0
456,13.0,14.0,1.0,16.0,15.0,31.0
457,16.0,14.0,1.0,14.0,16.0,31.0
458,14.0,14.0,1.0,16.0,15.0,31.0
459,13.0,14.0,1.0,16.0,16.0,31.0
460,13.0,14.0,1.0,16.0,16.0,31.0
461,14.0,14.0,1.0,16.0,15.0,31.0
462,13.0,14.0,1.0,16.0,16.0,31.0
463,14.0,14.0,1.0,16.0,15.0,31.0
464,13.0,14.0,1.0,16.0,16.0,31.0
465,13.0,14.0,1.0,16.0,16.0,31.0
466,14.0,14.0,1.0,16.0,15.0,31.0
467,13.0,15.0,1.0,16.0,14.0,31.0
468,13.0,14.0,1.0,16.0,16.0,31.0
469,14.0,16.0,1.0,16.0,14.0,31.0
470,13.0,15.0,1.0,16.0,14.0,31.0
471,14.0,16.0,1.0,16.0,14.0,31.0
472,13.0,14.0,1.0,16.0,16.0,31.0
473,13.0,14.0,1.0,16.0,15.0,31.0
474,13.0,14.0,1.0,16.0,16.0,31.0
475,13.0,14.0,1.0,16.0,16.0,31.0
476,13.0,14.0,1.0,16.0,15.0,31.0
